LON,LAT,ANNUAL
-53.549,-33.701,4501
-53.449,-33.701,4507
-53.349,-33.701,4510
-53.249,-33.701,4525
-53.549,-33.601,4528
-53.449,-33.601,4511
-53.349,-33.601,4487
-53.249,-33.601,4432
-53.149,-33.601,4355
-53.549,-33.501,4599
-53.449,-33.501,4560
-53.349,-33.501,4463
-53.249,-33.501,4477
-53.149,-33.501,4461
-53.049,-33.501,4354
-52.949,-33.501,4479
-53.549,-33.401,4608
-53.449,-33.401,4560
-53.349,-33.401,4447
-53.249,-33.401,4448
-53.149,-33.401,4446
-53.049,-33.401,4392
-52.949,-33.401,4216
-52.849,-33.401,4259
-53.549,-33.301,4633
-53.449,-33.301,4558
-53.349,-33.301,4467
-53.249,-33.301,4404
-53.149,-33.301,4407
-53.049,-33.301,4433
-52.949,-33.301,4404
-52.849,-33.301,4183
-52.749,-33.301,4190
-53.549,-33.201,4674
-53.449,-33.201,4607
-53.349,-33.201,4500
-53.249,-33.201,4417
-53.149,-33.201,4391
-53.049,-33.201,4403
-52.949,-33.201,4407
-52.849,-33.201,4406
-52.749,-33.201,4136
-52.649,-33.201,4234
-53.549,-33.101,4639
-53.449,-33.101,4673
-53.349,-33.101,4631
-53.249,-33.101,4499
-53.149,-33.101,4398
-53.049,-33.101,4385
-52.949,-33.101,4366
-52.849,-33.101,4396
-52.749,-33.101,4364
-52.649,-33.101,4265
-52.549,-33.101,4457
-53.449,-33.001,4612
-53.349,-33.001,4692
-53.249,-33.001,4588
-53.149,-33.001,4442
-53.049,-33.001,4406
-52.949,-33.001,4377
-52.849,-33.001,4412
-52.749,-33.001,4397
-52.649,-33.001,4356
-52.549,-33.001,4341
-53.349,-32.901,4550
-53.249,-32.901,4639
-53.149,-32.901,4537
-53.049,-32.901,4468
-52.949,-32.901,4505
-52.849,-32.901,4552
-52.749,-32.901,4475
-52.649,-32.901,4357
-52.549,-32.901,4349
-52.449,-32.901,4499
-53.149,-32.801,4611
-53.049,-32.801,4595
-52.949,-32.801,4658
-52.849,-32.801,4692
-52.749,-32.801,4594
-52.649,-32.801,4359
-52.549,-32.801,4346
-52.449,-32.801,4415
-53.149,-32.701,4539
-53.049,-32.701,4621
-52.949,-32.701,4684
-52.849,-32.701,4705
-52.749,-32.701,4672
-52.649,-32.701,4455
-52.549,-32.701,4358
-52.449,-32.701,4355
-53.449,-32.601,4364
-53.349,-32.601,4363
-53.249,-32.601,4347
-53.149,-32.601,4377
-53.049,-32.601,4460
-52.949,-32.601,4592
-52.849,-32.601,4651
-52.749,-32.601,4657
-52.649,-32.601,4519
-52.549,-32.601,4351
-52.449,-32.601,4356
-52.349,-32.601,4499
-53.549,-32.501,4349
-53.449,-32.501,4337
-53.349,-32.501,4334
-53.249,-32.501,4305
-53.149,-32.501,4316
-53.049,-32.501,4355
-52.949,-32.501,4448
-52.849,-32.501,4530
-52.749,-32.501,4584
-52.649,-32.501,4491
-52.549,-32.501,4353
-52.449,-32.501,4377
-52.349,-32.501,4455
-53.649,-32.401,4347
-53.549,-32.401,4341
-53.449,-32.401,4343
-53.349,-32.401,4321
-53.249,-32.401,4279
-53.149,-32.401,4260
-53.049,-32.401,4274
-52.949,-32.401,4329
-52.849,-32.401,4387
-52.749,-32.401,4450
-52.649,-32.401,4368
-52.549,-32.401,4323
-52.449,-32.401,4317
-52.349,-32.401,4353
-53.649,-32.301,4340
-53.549,-32.301,4326
-53.449,-32.301,4291
-53.349,-32.301,4267
-53.249,-32.301,4195
-53.149,-32.301,4191
-53.049,-32.301,4210
-52.949,-32.301,4245
-52.849,-32.301,4309
-52.749,-32.301,4398
-52.649,-32.301,4312
-52.549,-32.301,4260
-52.449,-32.301,4252
-52.349,-32.301,4306
-52.249,-32.301,4343
-53.749,-32.201,4405
-53.649,-32.201,4360
-53.549,-32.201,4306
-53.449,-32.201,4263
-53.349,-32.201,4217
-53.249,-32.201,4156
-53.149,-32.201,4137
-53.049,-32.201,4145
-52.949,-32.201,4186
-52.849,-32.201,4239
-52.749,-32.201,4295
-52.649,-32.201,4281
-52.549,-32.201,4247
-52.449,-32.201,4204
-52.349,-32.201,4223
-52.249,-32.201,4273
-52.149,-32.201,4298
-52.049,-32.201,4437
-53.849,-32.101,4474
-53.749,-32.101,4432
-53.649,-32.101,4410
-53.549,-32.101,4320
-53.449,-32.101,4254
-53.349,-32.101,4185
-53.249,-32.101,4152
-53.149,-32.101,4119
-53.049,-32.101,4105
-52.949,-32.101,4140
-52.849,-32.101,4168
-52.749,-32.101,4212
