LON,LAT,ANNUAL
-68.746,-11.011,3438
-68.744,-11.029,3438
-69.566,-10.939,3453
-68.497,-1.065,3413
-67.677,-10.575,3269
-6.719,-10.326,3223
-67.737,-10.150,3252
-67.053,-10.076,3165
-67.825,-9.976,3259
-67.952,-983,3287
-67.541,-9.594,3229
-70.491,-9.447,3338
-71.948,-9.197,3385
-68.672,-9.064,3190
-72.800,-8.939,3543
-69.268,-8.833,3220
-72.754,-8.264,3583
-70.773,-8.157,3292
-70.354,-8.164,3187
-72.651,-7.734,3434
-72.900,-762,3482
-72.676,-763,3389
-36.434,-10.406,4958
-36.582,-10.288,4818
-36.303,-10.294,4945
-36.838,-10.185,5035
-36.902,-10.122,4924
-36.813,-10.057,4769
-36.657,-10.128,4673
-3.617,-10.128,4989
-37.003,-9.963,5034
-36.793,-9.956,4596
-36.015,-10.014,4952
-36.832,-9.885,4614
-3.668,-9.899,4566
-36.550,-9.932,4601
-36.481,-9.907,4550
-3.636,-9.909,4546
-37.277,-9.823,4805
-36.740,-9.829,4662
-36.662,-9.755,4614
-36.353,-9.785,4544
-36.097,-9.783,4728
-3.591,-9.839,4829
-35.979,-9.836,4829
-37.441,-9.742,4926
-37.339,-9.673,4690
-37.128,-9.674,4664
-37.002,-9.659,4613
-36.503,-9.741,4637
-36.308,-9.685,4518
-3.590,-9.710,4933
-35.702,-9.661,5067
-37.760,-9.609,4925
-37.383,-9.558,4817
-37.208,-9.636,4744
-37.251,-960,4744
-36.585,-9.634,4722
-36.491,-9.571,4495
-36.493,-9.646,4495
-36.305,-958,4493
-36.213,-9.644,4341
-35.955,-9.602,4713
-3.582,-9.570,4813
-35.824,-9.604,4813
-35.800,-9.638,4813
-3.783,-9.504,4929
-37.458,-9.470,4816
-37.376,-9.484,4868
-37.296,-9.534,4840
-37.191,-9.518,4784
-36.987,-9.534,4764
-36.638,-9.538,4777
-36.433,-9.535,4587
-36.292,-9.474,4281
-36.009,-9.512,4498
-35.840,-9.478,4566
-35.552,-9.464,5140
-3.800,-9.386,4879
-37.248,-9.370,4930
-37.090,-9.387,4866
-36.991,-9.402,4806
-36.632,-9.411,4810
-36.388,-9.448,4434
-36.376,-9.371,4434
-36.242,-9.372,4352
-36.156,-9.400,4225
-36.083,-9.416,4360
-35.840,-9.394,4505
-35.510,-9.403,4892
-37.999,-9.257,4972
-37.938,-9.262,4864
-37.285,-9.305,4942
-3.687,-9.308,4853
-36.470,-9.320,4541
-36.299,-926,4311
-35.943,-9.307,4410
-35.714,-9.273,4257
-35.561,-9.319,4703
-35.377,-9.265,5249
-37.751,-9.226,5013
-37.356,-9.159,4975
-37.353,-9.231,4975
-36.221,-9.171,4161
-36.023,-9.160,4362
-36.016,-9.234,4362
-35.525,-9.155,4481
-35.488,-9.240,4588
-35.305,-9.161,4815
-37.731,-9.119,5237
-37.603,-9.116,5061
-35.748,-9.133,3915
-35.399,-9.052,4683
